id	sale_price
1255725861	441.59 BRL
1255725870	441.59 BRL
1255725880	441.59 BRL
1255725888	441.59 BRL
1255725891	441.59 BRL
1255725899	441.59 BRL
1255725913	441.59 BRL
1255725922	441.59 BRL
1255725929	441.59 BRL
1255725936	441.59 BRL
1255725943	441.59 BRL
1255725952	441.59 BRL
1255725957	441.59 BRL
1255725962	441.59 BRL
1255725969	441.59 BRL
1255725975	441.59 BRL
1255725982	441.59 BRL
1255735484	144.95 BRL
1255735491	144.95 BRL
1255735496	144.95 BRL
1255735501	144.95 BRL
1255735509	144.95 BRL
1255735515	144.95 BRL
1255735519	144.95 BRL
1255735525	144.95 BRL
1255735531	144.95 BRL
1255735536	144.95 BRL
1255735542	144.95 BRL
1255735546	144.95 BRL
1255735551	144.95 BRL
1255735557	144.95 BRL
1255735563	144.95 BRL
1255735566	144.95 BRL
1255735572	144.95 BRL
1255735578	144.95 BRL
1255735581	144.95 BRL
1255735587	144.95 BRL
1255735590	144.95 BRL
1255735598	144.95 BRL
1255735603	144.95 BRL
1255735611	144.95 BRL
1255735615	144.95 BRL
1255735619	144.95 BRL
1255735623	144.95 BRL
1255735628	144.95 BRL
1255735632	144.95 BRL
1255735635	144.95 BRL
1255735639	144.95 BRL
1255735644	144.95 BRL
1255735649	144.95 BRL
1255735652	144.95 BRL
1255735657	144.95 BRL
1255735662	144.95 BRL
1255815078	67.19 BRL
1255816608	67.19 BRL
1255817462	57.59 BRL
1255818966	57.59 BRL
1255821414	57.59 BRL
1263385586	23.99 BRL
1267829647	499.19 BRL
1267848925	691.19 BRL
1267865235	76.79 BRL
1267886164	71.99 BRL
1267886986	71.99 BRL
1267888383	71.99 BRL
1267889798	71.99 BRL
1267890745	71.99 BRL
1268263925	211.19 BRL
1268270392	211.19 BRL
1269246569	28.79 BRL
1269246762	201.59 BRL
1269246902	201.59 BRL
1269247399	1343.99 BRL
1277907555	143.99 BRL
1277907725	143.99 BRL
1277908127	143.99 BRL
1325724202	153.59 BRL
1325728932	153.59 BRL
1325731274	153.59 BRL
1325733770	153.59 BRL
1326864896	499.19 BRL
1344745919	1055.99 BRL
1345265390	1055.99 BRL
1345279548	1007.99 BRL
1345285539	1151.99 BRL
1345289667	1007.99 BRL
1345297594	1055.99 BRL
1345304052	1007.99 BRL
1345333989	1007.99 BRL
1345337006	1055.99 BRL
1345339046	1055.99 BRL
1345341139	1055.99 BRL
1345343839	1055.99 BRL
1345345513	1007.99 BRL
1345348015	1007.99 BRL
