janela,data,numero_fatura,valor_total,campanha,imposto,situacao,arquivo
15-08 a 28-08,2026-08-28,FBADS-757-106497709,"377,30","331,46","45,84",paga,Glauber_Meta_2026-08-28_NF106497709.pdf
29-08 a 19-09,2026-08-29,FBADS-757-106501256,"5,31","4,66","0,65",paga,Glauber_Meta_2026-08-29_NF106501256.pdf
29-08 a 19-09,2026-08-29,FBADS-757-106501276,"664,30","583,59","80,71",paga,Glauber_Meta_2026-08-29_NF106501276.pdf
29-08 a 19-09,2026-08-30,(sem nº — aporte de saldo),"0,05",,,recusada,Glauber_Meta_2026-08-30_APORTE-SEM-NF_RECUSADA.pdf
29-08 a 19-09,2026-08-30,FBADS-757-106505692,"0,55","0,48","0,07",paga,Glauber_Meta_2026-08-30_NF106505692.pdf
29-08 a 19-09,2026-08-30,FBADS-757-106505708,"1261,23","1107,99","153,24",paga,Glauber_Meta_2026-08-30_NF106505708.pdf
29-08 a 19-09,2026-08-30,FBADS-757-106507377,"4,16","3,65","0,51",paga,Glauber_Meta_2026-08-30_NF106507377.pdf
29-08 a 19-09,2026-08-30,FBADS-757-106507383,"669,37","588,04","81,33",paga,Glauber_Meta_2026-08-30_NF106507383.pdf
29-08 a 19-09,2026-08-30,FBADS-757-106507763,"99,75","87,63","12,12",paga,Glauber_Meta_2026-08-30_NF106507763.pdf
29-08 a 19-09,2026-09-01,FBADS-757-106518390,"1,34","1,18","0,16",paga,Glauber_Meta_2026-09-01_NF106518390.pdf
29-08 a 19-09,2026-09-01,FBADS-757-106518396,"623,30","547,57","75,73",paga,Glauber_Meta_2026-09-01_NF106518396.pdf
29-08 a 19-09,2026-09-01,FBADS-757-106519113,"46,77","41,09","5,68",paga,Glauber_Meta_2026-09-01_NF106519113.pdf
29-08 a 19-09,2026-09-02,FBADS-757-106523000,"205,71","180,72","24,99",paga,Glauber_Meta_2026-09-02_NF106523000.pdf
29-08 a 19-09,2026-09-03,FBADS-757-106528364,"0,71","0,62","0,09",paga,Glauber_Meta_2026-09-03_NF106528364.pdf
29-08 a 19-09,2026-09-03,FBADS-757-106528369,"319,78","280,93","38,85",paga,Glauber_Meta_2026-09-03_NF106528369.pdf
29-08 a 19-09,2026-09-04,FBADS-757-106532773,"2,35","2,06","0,29",paga,Glauber_Meta_2026-09-04_NF106532773.pdf
29-08 a 19-09,2026-09-04,FBADS-757-106532775,"205,68","180,69","24,99",paga,Glauber_Meta_2026-09-04_NF106532775.pdf
29-08 a 19-09,2026-09-04,FBADS-757-106533066,"22,09","19,41","2,68",paga,Glauber_Meta_2026-09-04_NF106533066.pdf
29-08 a 19-09,2026-09-05,(sem nº — aporte de saldo),"1,40",,,recusada,Glauber_Meta_2026-09-05_APORTE-SEM-NF_RECUSADA.pdf
29-08 a 19-09,2026-09-05,FBADS-757-106538543,"690,49","606,60","83,89",paga,Glauber_Meta_2026-09-05_NF106538543.pdf
29-08 a 19-09,2026-09-05,FBADS-757-106538553,"11,75","10,32","1,43",paga,Glauber_Meta_2026-09-05_NF106538553.pdf
29-08 a 19-09,2026-09-05,FBADS-757-106538735,"11,75","10,32","1,43",paga,Glauber_Meta_2026-09-05_NF106538735.pdf
29-08 a 19-09,2026-09-08,FBADS-757-106555086,"5,36","4,71","0,65",paga,Glauber_Meta_2026-09-08_NF106555086.pdf
29-08 a 19-09,2026-09-10,(sem nº — aporte de saldo),"1,37",,,recusada,Glauber_Meta_2026-09-10_APORTE-SEM-NF_RECUSADA.pdf
