id,title,brand,custom_label_0,custom_label_1,sale_price
94498,Kasmaq Aparelho de viés 2 dobra Galoneira Industrial - 35 mm,Kasmaq,,,53.53 BRL
6395,Corozita Botão 4 Furos mesclado pct/144 un 1189-20 - 1189-403 Vermelho,Corozita,,,21.31 BRL
6402,Corozita Botão 4 Furos mesclado pct/144 un 1189-20 - 1189-312 Rosa,Corozita,,,21.31 BRL
6403,Corozita Botão 4 Furos mesclado pct/144 un 1189-20 - 1189-155 cinza,Corozita,,,21.31 BRL
6399,Corozita Botão 4 Furos mesclado pct/144 un 1189-20 - 1189-159 Bege,Corozita,,,21.31 BRL
6398,Corozita Botão 4 Furos mesclado pct/144 un 1189-20 - 1189-198 Bege,Corozita,,,21.31 BRL
6400,Corozita Botão 4 Furos mesclado pct/144 un 1189-20 - 1189-153 Areia,Corozita,,,21.31 BRL
29698,Corozita Botão 4 Furos mesclado pct/144 un 1189-20 - 1189-154 verde,Corozita,,,21.31 BRL
6394,Corozita Botão 4 Furos mesclado pct/144 un 1189-20,Corozita,,,21.31 BRL
6404,Corozita Botão 4 Furos mesclado pct/144 un 1189-20 - 1189-314 verde,Corozita,,,21.31 BRL
87117,Corozita Botão 4 Furos mesclado pct/144 un 1189-20 - 1148-AZUL,Corozita,,,21.31 BRL
25748,"Manta R1 Gramatura 100gr Pegorari - 1,5mt x 1mt - 014117",Pegorari,,TOPO_BUSCA,40.42 BRL
18814,Corozita Botão 4 Furos 8101/20 c/144 unidades - Cores Fosca - 8101-Bege310,Corozita,,TOPO_BUSCA,12.02 BRL
31116,Botão Infantil vela natal 6102 verde/vm pct. 24 unidades - 25978,Roma Aviamentos,NATAL,,7.21 BRL
2182,Agulha De Máquina Singer Costura 6120/80 Overlock Máquina industrial - 11,Singer,,TOPO_BUSCA,19.88 BRL
313,Acrilex Diluente tinta para tecido 60ml - 4469,Acrilex,,,6.89 BRL
3897,Corozita Botão 4 Furos mesclado pct/144 un 1189-18 - 1189-316,Corozita,,,20.22 BRL
3893,Corozita Botão 4 Furos mesclado pct/144 un 1189-18 - 1189-Verde-314,Corozita,,,20.22 BRL
29701,Corozita Botão 4 Furos mesclado pct/144 un 1189-18 - 1189-154 verde,Corozita,,,20.22 BRL
3891,Corozita Botão 4 Furos mesclado pct/144 un 1189-18,Corozita,,,20.22 BRL
3902,Corozita Botão 4 Furos mesclado pct/144 un 1189-18 - 1189-155 cinza,Corozita,,,20.22 BRL
3900,Corozita Botão 4 Furos mesclado pct/144 un 1189-18 - 1189-157 Marinho,Corozita,,,20.22 BRL
3896,Corozita Botão 4 Furos mesclado pct/144 un 1189-18 - 1189-198 Bege,Corozita,,,20.22 BRL
3901,Corozita Botão 4 Furos mesclado pct/144 un 1189-18 - 1189-312 Rosa,Corozita,,,20.22 BRL
3898,Corozita Botão 4 Furos mesclado pct/144 un 1189-18 - 1189-159 Bege,Corozita,,,20.22 BRL
3899,Corozita Botão 4 Furos mesclado pct/144 un 1189-18 - 1189-153 Areia,Corozita,,,20.22 BRL
3894,Corozita Botão 4 Furos mesclado pct/144 un 1189-18 - 1189-Preto-PR,Corozita,,,20.22 BRL
2057,Brindart Etiqueta de papel - Tamanho U ao EX - 1.000 unidades - 2931 - EG,Brindart,,,3.06 BRL
12433,Botão craquelado onix 9144 - 50 unidades,Roma Aviamentos,,,12.57 BRL
2056,Brindart Etiqueta de papel - Tamanho U ao EX - 1.000 unidades - 2931 - EX,Brindart,,,3.06 BRL
1929,Lacinho de Cetim mini - 100 unidades - R051-Lilas,Roma Aviamentos,,,4.60 BRL
27064,Lacinho de Cetim mini - 100 unidades - RO51-cafe43,Roma Aviamentos,,,4.60 BRL
2055,Brindart Etiqueta de papel - Tamanho U ao EX - 1.000 unidades - 2931,Brindart,,,3.06 BRL
2059,Brindart Etiqueta de papel - Tamanho U ao EX - 1.000 unidades - 2931 - G,Brindart,,,3.06 BRL
2061,Brindart Etiqueta de papel - Tamanho U ao EX - 1.000 unidades - 2931 - P,Brindart,,,3.06 BRL
1930,Lacinho de Cetim mini - 100 unidades - R051-Laranja,Roma Aviamentos,,,4.60 BRL
2062,Brindart Etiqueta de papel - Tamanho U ao EX - 1.000 unidades - 2931 - PP,Brindart,,,3.06 BRL
2060,Brindart Etiqueta de papel - Tamanho U ao EX - 1.000 unidades - 2931 - M,Brindart,,,3.06 BRL
21984,Brindart Etiqueta de papel - Tamanho U ao EX - 1.000 unidades - 2931 - Unico,Brindart,,,3.06 BRL
2058,Brindart Etiqueta de papel - Tamanho U ao EX - 1.000 unidades - 2931 - GG,Brindart,,,3.06 BRL
12079,Matriz para botão de pressão - Tam. 80,Roma Aviamentos,,,57.90 BRL
2184,Agulha De Máquina Singer Costura 6120/80 Overlock Máquina industrial - 9,Singer,,TOPO_BUSCA,19.88 BRL
2181,Agulha De Máquina Singer Costura 6120/80 Overlock Máquina industrial - 14,Singer,,TOPO_BUSCA,19.88 BRL
23948,Sianinha - São José - 5mm x 10m - 222/2.Pink,São José,,,8.42 BRL
24379,Sianinha - São José - 5mm x 10m - 222/2/Salmão,São José,,,8.42 BRL
23947,Sianinha - São José - 5mm x 10m - 222/2.VerdeEsmeralda,São José,,,8.42 BRL
28265,Lanmax Mini Máquina Costura Portátil 4 Em 1 Com Pedal - Bivolt 110V/220V,Lanmax,,,187.91 BRL
13514,Dizaro Brasil Bojo inteiro Branco - com 5 pares - M,Dizaro Brasil,,,29.50 BRL
7363,Nitron Organiza Tudo - Pequeno 10 Divisórias,Nitron,,,10.82 BRL
12698,Botão 9145 Branco com 50 unidades - varios tamanhos,Roma Aviamentos,,,15.85 BRL
2180,Agulha De Máquina Singer Costura 6120/80 Overlock Máquina industrial,Singer,,TOPO_BUSCA,19.88 BRL
2964,Trader Cordão trançado 1235 dourado c/20m - 1822,Trader,,,32.67 BRL
25899,Sansei Agulha reta fina - Orange - 10 unidades - Prata - DBX95 - 20,Sansei,,,14.20 BRL
2186,Sansei Agulha reta fina - Orange - 10 unidades - Prata - DBX95 - 19,Sansei,,,14.20 BRL
2038,Brindart Etiqueta de tecido - Numeração 30 ao 48 - 2.000 unidades - 2929 - 44,Brindart,,,5.90 BRL
2035,Brindart Etiqueta de tecido - Numeração 30 ao 48 - 2.000 unidades - 2929,Brindart,,,5.90 BRL
2040,Brindart Etiqueta de tecido - Numeração 30 ao 48 - 2.000 unidades - 2929 - 40,Brindart,,,5.90 BRL
2943,Regulador - Ritas - 2 furos - 4mm - 50 unidades,Ritas,,,9.83 BRL
18750,Brindart Etiqueta de tecido - Numeração 30 ao 48 - 2.000 unidades - 2929 - 30,Brindart,,,5.90 BRL
2041,Brindart Etiqueta de tecido - Numeração 30 ao 48 - 2.000 unidades - 2929 - 38,Brindart,,,5.90 BRL
